Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Attend.,Arena,Year
"Fri, Dec 30, 2022",10:00p,Utah Jazz,125.0,Sacramento Kings,126.0,17946.0,Golden 1 Center,2023
"Sat, Dec 31, 2022",3:00p,Los Angeles Clippers,130.0,Indiana Pacers,131.0,16731.0,Gainbridge Fieldhouse,2023
"Sat, Dec 31, 2022",7:00p,Cleveland Cavaliers,103.0,Chicago Bulls,102.0,21524.0,United Center,2023
"Sat, Dec 31, 2022",7:00p,Brooklyn Nets,123.0,Charlotte Hornets,106.0,19386.0,Spectrum Center,2023
"Sat, Dec 31, 2022",7:00p,New York Knicks,108.0,Houston Rockets,88.0,18055.0,Toyota Center,2023
"Sat, Dec 31, 2022",7:00p,Dallas Mavericks,126.0,San Antonio Spurs,125.0,18354.0,AT&T Center,2023
"Sat, Dec 31, 2022",8:00p,New Orleans Pelicans,101.0,Memphis Grizzlies,116.0,17951.0,FedEx Forum,2023
"Sat, Dec 31, 2022",8:00p,Detroit Pistons,116.0,Minnesota Timberwolves,104.0,16233.0,Target Center,2023
"Sat, Dec 31, 2022",8:00p,Philadelphia 76ers,115.0,Oklahoma City Thunder,96.0,17147.0,Paycom Center,2023
"Sat, Dec 31, 2022",9:00p,Miami Heat,126.0,Utah Jazz,123.0,18206.0,Vivint Arena,2023
"Sun, Jan 1, 2023",8:00p,Boston Celtics,111.0,Denver Nuggets,123.0,19641.0,Ball Arena,2023
"Sun, Jan 1, 2023",8:00p,Sacramento Kings,108.0,Memphis Grizzlies,118.0,17794.0,FedEx Forum,2023
"Sun, Jan 1, 2023",8:00p,Washington Wizards,118.0,Milwaukee Bucks,95.0,17341.0,Fiserv Forum,2023
"Mon, Jan 2, 2023",3:00p,Phoenix Suns,83.0,New York Knicks,102.0,19812.0,Madison Square Garden (IV),2023
"Mon, Jan 2, 2023",7:00p,Los Angeles Lakers,121.0,Charlotte Hornets,115.0,19210.0,Spectrum Center,2023
"Mon, Jan 2, 2023",7:00p,Chicago Bulls,134.0,Cleveland Cavaliers,145.0,19432.0,Rocket Mortgage Fieldhouse,2023
"Mon, Jan 2, 2023",7:00p,Toronto Raptors,114.0,Indiana Pacers,122.0,14054.0,Gainbridge Fieldhouse,2023
"Mon, Jan 2, 2023",7:00p,New Orleans Pelicans,111.0,Philadelphia 76ers,120.0,20531.0,Wells Fargo Center,2023
"Mon, Jan 2, 2023",7:30p,San Antonio Spurs,103.0,Brooklyn Nets,139.0,18224.0,Barclays Center,2023
"Mon, Jan 2, 2023",8:00p,Dallas Mavericks,111.0,Houston Rockets,106.0,18055.0,Toyota Center,2023
"Mon, Jan 2, 2023",8:00p,Denver Nuggets,111.0,Minnesota Timberwolves,124.0,15962.0,Target Center,2023
"Mon, Jan 2, 2023",10:00p,Atlanta Hawks,141.0,Golden State Warriors,143.0,18064.0,Chase Center,2023
"Mon, Jan 2, 2023",10:00p,Detroit Pistons,106.0,Portland Trail Blazers,135.0,19393.0,Moda Center,2023
"Mon, Jan 2, 2023",10:30p,Miami Heat,110.0,Los Angeles Clippers,100.0,19068.0,Crypto.com Arena,2023
"Tue, Jan 3, 2023",8:00p,Washington Wizards,113.0,Milwaukee Bucks,123.0,17341.0,Fiserv Forum,2023
"Tue, Jan 3, 2023",8:00p,Boston Celtics,117.0,Oklahoma City Thunder,150.0,16778.0,Paycom Center,2023
"Tue, Jan 3, 2023",9:00p,Sacramento Kings,117.0,Utah Jazz,115.0,18206.0,Vivint Arena,2023
"Wed, Jan 4, 2023",7:00p,Memphis Grizzlies,131.0,Charlotte Hornets,107.0,19249.0,Spectrum Center,2023
"Wed, Jan 4, 2023",7:00p,Phoenix Suns,88.0,Cleveland Cavaliers,90.0,19432.0,Rocket Mortgage Fieldhouse,2023
"Wed, Jan 4, 2023",7:00p,Oklahoma City Thunder,115.0,Orlando Magic,126.0,18925.0,Amway Center,2023
"Wed, Jan 4, 2023",7:00p,Indiana Pacers,126.0,Philadelphia 76ers,129.0,20033.0,Wells Fargo Center,2023
"Wed, Jan 4, 2023",7:30p,San Antonio Spurs,114.0,New York Knicks,117.0,19812.0,Madison Square Garden (IV),2023
"Wed, Jan 4, 2023",7:30p,Milwaukee Bucks,104.0,Toronto Raptors,101.0,19800.0,Scotiabank Arena,2023
"Wed, Jan 4, 2023",8:00p,Brooklyn Nets,112.0,Chicago Bulls,121.0,21418.0,United Center,2023
"Wed, Jan 4, 2023",8:00p,Portland Trail Blazers,106.0,Minnesota Timberwolves,113.0,15434.0,Target Center,2023
"Wed, Jan 4, 2023",8:00p,Houston Rockets,108.0,New Orleans Pelicans,119.0,17295.0,Smoothie King Center,2023
"Wed, Jan 4, 2023",10:00p,Detroit Pistons,122.0,Golden State Warriors,119.0,18064.0,Chase Center,2023
"Wed, Jan 4, 2023",10:00p,Miami Heat,109.0,Los Angeles Lakers,112.0,18997.0,Crypto.com Arena,2023
"Wed, Jan 4, 2023",10:00p,Atlanta Hawks,120.0,Sacramento Kings,117.0,17611.0,Golden 1 Center,2023
"Thu, Jan 5, 2023",7:00p,Memphis Grizzlies,123.0,Orlando Magic,115.0,19184.0,Amway Center,2023
"Thu, Jan 5, 2023",7:30p,Boston Celtics,124.0,Dallas Mavericks,95.0,20413.0,American Airlines Center,2023
"Thu, Jan 5, 2023",8:00p,Utah Jazz,131.0,Houston Rockets,114.0,16320.0,Toyota Center,2023
"Thu, Jan 5, 2023",10:00p,Los Angeles Clippers,91.0,Denver Nuggets,122.0,19087.0,Ball Arena,2023
"Fri, Jan 6, 2023",7:00p,Portland Trail Blazers,99.0,Indiana Pacers,108.0,16548.0,Gainbridge Fieldhouse,2023
"Fri, Jan 6, 2023",7:00p,Chicago Bulls,126.0,Philadelphia 76ers,112.0,20766.0,Wells Fargo Center,2023
"Fri, Jan 6, 2023",7:30p,Brooklyn Nets,108.0,New Orleans Pelicans,102.0,18636.0,Smoothie King Center,2023
"Fri, Jan 6, 2023",7:30p,New York Knicks,112.0,Toronto Raptors,108.0,19800.0,Scotiabank Arena,2023
"Fri, Jan 6, 2023",8:00p,Charlotte Hornets,138.0,Milwaukee Bucks,109.0,17627.0,Fiserv Forum,2023
"Fri, Jan 6, 2023",8:00p,Washington Wizards,110.0,Oklahoma City Thunder,127.0,14790.0,Paycom Center,2023
"Fri, Jan 6, 2023",8:00p,Detroit Pistons,109.0,San Antonio Spurs,121.0,13107.0,AT&T Center,2023
"Fri, Jan 6, 2023",9:00p,Cleveland Cavaliers,108.0,Denver Nuggets,121.0,19638.0,Ball Arena,2023
"Fri, Jan 6, 2023",9:00p,Los Angeles Clippers,115.0,Minnesota Timberwolves,128.0,17136.0,Target Center,2023
"Fri, Jan 6, 2023",10:00p,Miami Heat,104.0,Phoenix Suns,96.0,17071.0,Footprint Center,2023
"Fri, Jan 6, 2023",10:30p,Atlanta Hawks,114.0,Los Angeles Lakers,130.0,18997.0,Crypto.com Arena,2023
"Sat, Jan 7, 2023",6:00p,Boston Celtics,121.0,San Antonio Spurs,116.0,18354.0,AT&T Center,2023
"Sat, Jan 7, 2023",8:00p,Utah Jazz,118.0,Chicago Bulls,126.0,21694.0,United Center,2023
"Sat, Jan 7, 2023",8:00p,New Orleans Pelicans,117.0,Dallas Mavericks,127.0,20300.0,American Airlines Center,2023
"Sat, Jan 7, 2023",8:30p,Orlando Magic,115.0,Golden State Warriors,101.0,18064.0,Chase Center,2023
"Sat, Jan 7, 2023",10:00p,Los Angeles Lakers,136.0,Sacramento Kings,134.0,17611.0,Golden 1 Center,2023
"Sun, Jan 8, 2023",3:00p,Philadelphia 76ers,123.0,Detroit Pistons,111.0,18898.0,Little Caesars Arena,2023
"Sun, Jan 8, 2023",3:30p,Portland Trail Blazers,105.0,Toronto Raptors,117.0,19800.0,Scotiabank Arena,2023
"Sun, Jan 8, 2023",5:00p,Charlotte Hornets,111.0,Indiana Pacers,116.0,15805.0,Gainbridge Fieldhouse,2023
"Sun, Jan 8, 2023",6:00p,Utah Jazz,118.0,Memphis Grizzlies,123.0,17794.0,FedEx Forum,2023
"Sun, Jan 8, 2023",6:00p,Brooklyn Nets,102.0,Miami Heat,101.0,19901.0,Kaseya Center,2023
"Sun, Jan 8, 2023",7:00p,Minnesota Timberwolves,104.0,Houston Rockets,96.0,18055.0,Toyota Center,2023
"Sun, Jan 8, 2023",7:00p,Dallas Mavericks,109.0,Oklahoma City Thunder,120.0,16317.0,Paycom Center,2023
"Sun, Jan 8, 2023",8:00p,Cleveland Cavaliers,112.0,Phoenix Suns,98.0,17071.0,Footprint Center,2023
"Sun, Jan 8, 2023",9:00p,Atlanta Hawks,112.0,Los Angeles Clippers,108.0,19068.0,Crypto.com Arena,2023
"Mon, Jan 9, 2023",7:00p,New Orleans Pelicans,132.0,Washington Wizards,112.0,16223.0,Capital One Arena,2023
"Mon, Jan 9, 2023",7:30p,Chicago Bulls,99.0,Boston Celtics,107.0,19156.0,TD Garden,2023
"Mon, Jan 9, 2023",7:30p,Milwaukee Bucks,111.0,New York Knicks,107.0,18167.0,Madison Square Garden (IV),2023
"Mon, Jan 9, 2023",8:00p,San Antonio Spurs,113.0,Memphis Grizzlies,121.0,16013.0,FedEx Forum,2023
"Mon, Jan 9, 2023",9:00p,Los Angeles Lakers,109.0,Denver Nuggets,122.0,19609.0,Ball Arena,2023
"Mon, Jan 9, 2023",10:00p,Orlando Magic,111.0,Sacramento Kings,136.0,16499.0,Golden 1 Center,2023
"Tue, Jan 10, 2023",7:00p,Detroit Pistons,116.0,Philadelphia 76ers,147.0,20221.0,Wells Fargo Center,2023
"Tue, Jan 10, 2023",7:30p,Oklahoma City Thunder,111.0,Miami Heat,112.0,19600.0,Kaseya Center,2023
"Tue, Jan 10, 2023",7:30p,Charlotte Hornets,120.0,Toronto Raptors,132.0,19800.0,Scotiabank Arena,2023
"Tue, Jan 10, 2023",9:00p,Cleveland Cavaliers,114.0,Utah Jazz,116.0,18206.0,Vivint Arena,2023
"Tue, Jan 10, 2023",10:00p,Phoenix Suns,125.0,Golden State Warriors,113.0,18064.0,Chase Center,2023
"Tue, Jan 10, 2023",10:00p,Orlando Magic,109.0,Portland Trail Blazers,106.0,18176.0,Moda Center,2023
"Tue, Jan 10, 2023",10:30p,Dallas Mavericks,101.0,Los Angeles Clippers,113.0,15828.0,Crypto.com Arena,2023
"Wed, Jan 11, 2023",7:00p,Minnesota Timberwolves,118.0,Detroit Pistons,135.0,15906.0,Little Caesars Arena,2023
"Wed, Jan 11, 2023",7:00p,Chicago Bulls,97.0,Washington Wizards,100.0,17032.0,Capital One Arena,2023
"Wed, Jan 11, 2023",7:30p,Milwaukee Bucks,114.0,Atlanta Hawks,105.0,17154.0,State Farm Arena,2023
"Wed, Jan 11, 2023",7:30p,New Orleans Pelicans,114.0,Boston Celtics,125.0,19156.0,TD Garden,2023
"Wed, Jan 11, 2023",7:30p,Indiana Pacers,113.0,New York Knicks,119.0,18249.0,Madison Square Garden (IV),2023
"Wed, Jan 11, 2023",8:00p,San Antonio Spurs,129.0,Memphis Grizzlies,135.0,16454.0,FedEx Forum,2023
"Wed, Jan 11, 2023",10:00p,Phoenix Suns,97.0,Denver Nuggets,126.0,18872.0,Ball Arena,2023
"Wed, Jan 11, 2023",10:00p,Houston Rockets,115.0,Sacramento Kings,135.0,16057.0,Golden 1 Center,2023
"Thu, Jan 12, 2023",7:00p,Oklahoma City Thunder,133.0,Philadelphia 76ers,114.0,20892.0,Wells Fargo Center,2023
"Thu, Jan 12, 2023",7:30p,Boston Celtics,109.0,Brooklyn Nets,98.0,18125.0,Barclays Center,2023
"Thu, Jan 12, 2023",7:30p,Milwaukee Bucks,102.0,Miami Heat,108.0,19600.0,Kaseya Center,2023
"Thu, Jan 12, 2023",7:30p,Charlotte Hornets,114.0,Toronto Raptors,124.0,19800.0,Scotiabank Arena,2023
"Thu, Jan 12, 2023",10:00p,Dallas Mavericks,119.0,Los Angeles Lakers,115.0,18997.0,Crypto.com Arena,2023
"Thu, Jan 12, 2023",10:00p,Cleveland Cavaliers,119.0,Portland Trail Blazers,113.0,18105.0,Moda Center,2023
"Fri, Jan 13, 2023",7:00p,New Orleans Pelicans,116.0,Detroit Pistons,110.0,18989.0,Little Caesars Arena,2023
"Fri, Jan 13, 2023",7:00p,Atlanta Hawks,113.0,Indiana Pacers,111.0,16071.0,Gainbridge Fieldhouse,2023
"Fri, Jan 13, 2023",7:00p,New York Knicks,112.0,Washington Wizards,108.0,20476.0,Capital One Arena,2023
"Fri, Jan 13, 2023",7:30p,Golden State Warriors,144.0,San Antonio Spurs,113.0,68323.0,Alamodome,2023
"Fri, Jan 13, 2023",8:00p,Oklahoma City Thunder,124.0,Chicago Bulls,110.0,21342.0,United Center,2023
"Fri, Jan 13, 2023",8:00p,Phoenix Suns,116.0,Minnesota Timberwolves,121.0,16460.0,Target Center,2023
"Fri, Jan 13, 2023",9:00p,Orlando Magic,108.0,Utah Jazz,112.0,18206.0,Vivint Arena,2023
"Fri, Jan 13, 2023",10:00p,Denver Nuggets,115.0,Los Angeles Clippers,103.0,16005.0,Crypto.com Arena,2023
"Fri, Jan 13, 2023",10:00p,Houston Rockets,114.0,Sacramento Kings,139.0,17894.0,Golden 1 Center,2023
"Sat, Jan 14, 2023",1:00p,Milwaukee Bucks,95.0,Miami Heat,111.0,19620.0,Kaseya Center,2023
"Sat, Jan 14, 2023",7:00p,Boston Celtics,122.0,Charlotte Hornets,106.0,19608.0,Spectrum Center,2023
"Sat, Jan 14, 2023",7:00p,Memphis Grizzlies,130.0,Indiana Pacers,112.0,17274.0,Gainbridge Fieldhouse,2023
"Sat, Jan 14, 2023",7:30p,Atlanta Hawks,114.0,Toronto Raptors,103.0,19800.0,Scotiabank Arena,2023
"Sat, Jan 14, 2023",8:00p,Cleveland Cavaliers,102.0,Minnesota Timberwolves,110.0,17136.0,Target Center,2023
"Sat, Jan 14, 2023",9:00p,Philadelphia 76ers,118.0,Utah Jazz,117.0,18206.0,Vivint Arena,2023
"Sat, Jan 14, 2023",10:00p,Dallas Mavericks,119.0,Portland Trail Blazers,136.0,19393.0,Moda Center,2023
"Sun, Jan 15, 2023",1:00p,New York Knicks,117.0,Detroit Pistons,104.0,19894.0,Little Caesars Arena,2023
"Sun, Jan 15, 2023",3:00p,Houston Rockets,100.0,Los Angeles Clippers,121.0,17238.0,Crypto.com Arena,2023
"Sun, Jan 15, 2023",3:30p,Golden State Warriors,118.0,Chicago Bulls,132.0,20139.0,United Center,2023
"Sun, Jan 15, 2023",6:00p,Oklahoma City Thunder,112.0,Brooklyn Nets,102.0,18165.0,Barclays Center,2023
"Sun, Jan 15, 2023",7:00p,Sacramento Kings,132.0,San Antonio Spurs,119.0,12339.0,AT&T Center,2023
"Sun, Jan 15, 2023",8:00p,Orlando Magic,116.0,Denver Nuggets,119.0,19641.0,Ball Arena,2023
"Sun, Jan 15, 2023",9:00p,Dallas Mavericks,123.0,Portland Trail Blazers,140.0,19393.0,Moda Center,2023
"Sun, Jan 15, 2023",9:30p,Philadelphia 76ers,113.0,Los Angeles Lakers,112.0,18020.0,Crypto.com Arena,2023
"Mon, Jan 16, 2023",1:00p,Boston Celtics,130.0,Charlotte Hornets,118.0,19227.0,Spectrum Center,2023
"Mon, Jan 16, 2023",2:30p,Indiana Pacers,119.0,Milwaukee Bucks,132.0,17412.0,Fiserv Forum,2023
"Mon, Jan 16, 2023",3:00p,New Orleans Pelicans,103.0,Cleveland Cavaliers,113.0,19432.0,Rocket Mortgage Fieldhouse,2023
"Mon, Jan 16, 2023",3:00p,Toronto Raptors,123.0,New York Knicks,121.0,19812.0,Madison Square Garden (IV),2023
"Mon, Jan 16, 2023",3:00p,Golden State Warriors,127.0,Washington Wizards,118.0,20476.0,Capital One Arena,2023
"Mon, Jan 16, 2023",3:30p,Miami Heat,113.0,Atlanta Hawks,121.0,18007.0,State Farm Arena,2023
"Mon, Jan 16, 2023",4:00p,Utah Jazz,126.0,Minnesota Timberwolves,125.0,16477.0,Target Center,2023
"Mon, Jan 16, 2023",6:00p,Phoenix Suns,106.0,Memphis Grizzlies,136.0,17794.0,FedEx Forum,2023
"Mon, Jan 16, 2023",10:30p,Houston Rockets,132.0,Los Angeles Lakers,140.0,17657.0,Crypto.com Arena,2023
"Tue, Jan 17, 2023",7:30p,Toronto Raptors,122.0,Milwaukee Bucks,130.0,17341.0,Fiserv Forum,2023
"Tue, Jan 17, 2023",8:00p,Brooklyn Nets,98.0,San Antonio Spurs,106.0,13532.0,AT&T Center,2023
"Tue, Jan 17, 2023",9:00p,Portland Trail Blazers,113.0,Denver Nuggets,122.0,18258.0,Ball Arena,2023
"Tue, Jan 17, 2023",10:00p,Philadelphia 76ers,120.0,Los Angeles Clippers,110.0,15155.0,Crypto.com Arena,2023
"Wed, Jan 18, 2023",7:30p,Atlanta Hawks,130.0,Dallas Mavericks,122.0,20125.0,American Airlines Center,2023
"Wed, Jan 18, 2023",7:30p,Washington Wizards,116.0,New York Knicks,105.0,19164.0,Madison Square Garden (IV),2023
"Wed, Jan 18, 2023",8:00p,Charlotte Hornets,122.0,Houston Rockets,117.0,15678.0,Toyota Center,2023
"Wed, Jan 18, 2023",8:00p,Cleveland Cavaliers,114.0,Memphis Grizzlies,115.0,16892.0,FedEx Forum,2023
"Wed, Jan 18, 2023",8:00p,Miami Heat,124.0,New Orleans Pelicans,98.0,17736.0,Smoothie King Center,2023
"Wed, Jan 18, 2023",8:00p,Indiana Pacers,106.0,Oklahoma City Thunder,126.0,14748.0,Paycom Center,2023
"Wed, Jan 18, 2023",9:00p,Los Angeles Clippers,103.0,Utah Jazz,126.0,18206.0,Vivint Arena,2023
"Wed, Jan 18, 2023",10:00p,Minnesota Timberwolves,118.0,Denver Nuggets,122.0,16112.0,Ball Arena,2023
"Wed, Jan 18, 2023",10:30p,Sacramento Kings,116.0,Los Angeles Lakers,111.0,18142.0,Crypto.com Arena,2023
"Thu, Jan 19, 2023",3:00p,Chicago Bulls,126.0,Detroit Pistons,108.0,15885.0,AccorHotels Arena,2023
"Thu, Jan 19, 2023",7:30p,Golden State Warriors,118.0,Boston Celtics,121.0,19156.0,TD Garden,2023
"Thu, Jan 19, 2023",8:00p,Toronto Raptors,126.0,Minnesota Timberwolves,128.0,16318.0,Target Center,2023
"Thu, Jan 19, 2023",10:00p,Brooklyn Nets,112.0,Phoenix Suns,117.0,17071.0,Footprint Center,2023
"Thu, Jan 19, 2023",10:00p,Philadelphia 76ers,105.0,Portland Trail Blazers,95.0,18113.0,Moda Center,2023
"Fri, Jan 20, 2023",7:00p,New Orleans Pelicans,110.0,Orlando Magic,123.0,19025.0,Amway Center,2023
"Fri, Jan 20, 2023",7:30p,New York Knicks,124.0,Atlanta Hawks,139.0,17711.0,State Farm Arena,2023
"Fri, Jan 20, 2023",7:30p,Golden State Warriors,120.0,Cleveland Cavaliers,114.0,19432.0,Rocket Mortgage Fieldhouse,2023
"Fri, Jan 20, 2023",7:30p,Miami Heat,90.0,Dallas Mavericks,115.0,20326.0,American Airlines Center,2023
"Fri, Jan 20, 2023",8:00p,Los Angeles Clippers,131.0,San Antonio Spurs,126.0,15190.0,AT&T Center,2023
"Fri, Jan 20, 2023",9:00p,Indiana Pacers,111.0,Denver Nuggets,134.0,19609.0,Ball Arena,2023
"Fri, Jan 20, 2023",9:00p,Brooklyn Nets,117.0,Utah Jazz,106.0,18206.0,Vivint Arena,2023
"Fri, Jan 20, 2023",10:00p,Memphis Grizzlies,121.0,Los Angeles Lakers,122.0,18997.0,Crypto.com Arena,2023
"Fri, Jan 20, 2023",10:00p,Oklahoma City Thunder,113.0,Sacramento Kings,118.0,17932.0,Golden 1 Center,2023
"Sat, Jan 21, 2023",5:00p,Boston Celtics,106.0,Toronto Raptors,104.0,19800.0,Scotiabank Arena,2023
"Sat, Jan 21, 2023",7:00p,Orlando Magic,118.0,Washington Wizards,138.0,18171.0,Capital One Arena,2023
"Sat, Jan 21, 2023",7:30p,Charlotte Hornets,122.0,Atlanta Hawks,118.0,17928.0,State Farm Arena,2023
"Sat, Jan 21, 2023",7:30p,Milwaukee Bucks,102.0,Cleveland Cavaliers,114.0,19432.0,Rocket Mortgage Fieldhouse,2023
"Sat, Jan 21, 2023",8:00p,Houston Rockets,104.0,Minnesota Timberwolves,113.0,17136.0,Target Center,2023
"Sat, Jan 21, 2023",9:00p,Indiana Pacers,107.0,Phoenix Suns,112.0,17071.0,Footprint Center,2023
"Sat, Jan 21, 2023",10:00p,Philadelphia 76ers,129.0,Sacramento Kings,127.0,17861.0,Golden 1 Center,2023
"Sun, Jan 22, 2023",2:30p,Los Angeles Clippers,112.0,Dallas Mavericks,98.0,20026.0,American Airlines Center,2023
"Sun, Jan 22, 2023",3:30p,New Orleans Pelicans,96.0,Miami Heat,100.0,19600.0,Kaseya Center,2023
"Sun, Jan 22, 2023",6:00p,New York Knicks,116.0,Toronto Raptors,125.0,19261.0,Scotiabank Arena,2023
"Sun, Jan 22, 2023",8:00p,Oklahoma City Thunder,101.0,Denver Nuggets,99.0,19557.0,Ball Arena,2023
"Sun, Jan 22, 2023",8:00p,Memphis Grizzlies,110.0,Phoenix Suns,112.0,17071.0,Footprint Center,2023
"Sun, Jan 22, 2023",8:30p,Brooklyn Nets,120.0,Golden State Warriors,116.0,18064.0,Chase Center,2023
"Sun, Jan 22, 2023",9:00p,Los Angeles Lakers,121.0,Portland Trail Blazers,112.0,19393.0,Moda Center,2023
"Mon, Jan 23, 2023",7:00p,Milwaukee Bucks,150.0,Detroit Pistons,130.0,18011.0,Little Caesars Arena,2023
"Mon, Jan 23, 2023",7:00p,Boston Celtics,98.0,Orlando Magic,113.0,19196.0,Amway Center,2023
"Mon, Jan 23, 2023",8:00p,Atlanta Hawks,100.0,Chicago Bulls,111.0,20938.0,United Center,2023
"Mon, Jan 23, 2023",8:00p,Minnesota Timberwolves,114.0,Houston Rockets,119.0,13811.0,Toyota Center,2023
"Mon, Jan 23, 2023",9:00p,Charlotte Hornets,102.0,Utah Jazz,120.0,18206.0,Vivint Arena,2023
"Mon, Jan 23, 2023",10:00p,San Antonio Spurs,127.0,Portland Trail Blazers,147.0,17874.0,Moda Center,2023
"Mon, Jan 23, 2023",10:30p,Memphis Grizzlies,100.0,Sacramento Kings,133.0,17821.0,Golden 1 Center,2023
"Tue, Jan 24, 2023",7:00p,Chicago Bulls,110.0,Indiana Pacers,116.0,16102.0,Gainbridge Fieldhouse,2023
"Tue, Jan 24, 2023",7:30p,Boston Celtics,95.0,Miami Heat,98.0,19705.0,Kaseya Center,2023
"Tue, Jan 24, 2023",7:30p,Cleveland Cavaliers,103.0,New York Knicks,105.0,19812.0,Madison Square Garden (IV),2023
"Tue, Jan 24, 2023",8:00p,Denver Nuggets,99.0,New Orleans Pelicans,98.0,14699.0,Smoothie King Center,2023
"Tue, Jan 24, 2023",8:30p,Washington Wizards,127.0,Dallas Mavericks,126.0,20077.0,American Airlines Center,2023
"Tue, Jan 24, 2023",9:00p,Charlotte Hornets,97.0,Phoenix Suns,128.0,17071.0,Footprint Center,2023
"Tue, Jan 24, 2023",10:00p,Los Angeles Clippers,133.0,Los Angeles Lakers,115.0,17604.0,Crypto.com Arena,2023
"Wed, Jan 25, 2023",7:00p,Indiana Pacers,120.0,Orlando Magic,126.0,18846.0,Amway Center,2023
"Wed, Jan 25, 2023",7:30p,Brooklyn Nets,133.0,Philadelphia 76ers,137.0,19772.0,Wells Fargo Center,2023
"Wed, Jan 25, 2023",8:00p,Washington Wizards,108.0,Houston Rockets,103.0,15302.0,Toyota Center,2023
"Wed, Jan 25, 2023",8:00p,Denver Nuggets,99.0,Milwaukee Bucks,107.0,17352.0,Fiserv Forum,2023
"Wed, Jan 25, 2023",8:00p,Minnesota Timberwolves,111.0,New Orleans Pelicans,102.0,14887.0,Smoothie King Center,2023
"Wed, Jan 25, 2023",8:00p,Atlanta Hawks,137.0,Oklahoma City Thunder,132.0,15079.0,Paycom Center,2023
"Wed, Jan 25, 2023",10:00p,Memphis Grizzlies,120.0,Golden State Warriors,122.0,18064.0,Chase Center,2023
"Wed, Jan 25, 2023",10:00p,Utah Jazz,124.0,Portland Trail Blazers,134.0,18154.0,Moda Center,2023
"Wed, Jan 25, 2023",10:00p,Toronto Raptors,113.0,Sacramento Kings,95.0,17767.0,Golden 1 Center,2023
"Wed, Jan 25, 2023",10:30p,San Antonio Spurs,104.0,Los Angeles Lakers,113.0,17955.0,Crypto.com Arena,2023
"Thu, Jan 26, 2023",7:30p,New York Knicks,120.0,Boston Celtics,117.0,19156.0,TD Garden,2023
"Thu, Jan 26, 2023",7:30p,Detroit Pistons,130.0,Brooklyn Nets,122.0,17732.0,Barclays Center,2023
"Thu, Jan 26, 2023",7:30p,Chicago Bulls,96.0,Charlotte Hornets,111.0,17697.0,Spectrum Center,2023
"Thu, Jan 26, 2023",8:00p,Cleveland Cavaliers,113.0,Houston Rockets,95.0,16327.0,Toyota Center,2023
"Thu, Jan 26, 2023",10:00p,Dallas Mavericks,99.0,Phoenix Suns,95.0,17071.0,Footprint Center,2023
"Thu, Jan 26, 2023",10:30p,San Antonio Spurs,100.0,Los Angeles Clippers,138.0,16958.0,Crypto.com Arena,2023
"Fri, Jan 27, 2023",7:00p,Milwaukee Bucks,141.0,Indiana Pacers,131.0,16090.0,Gainbridge Fieldhouse,2023
"Fri, Jan 27, 2023",7:30p,Memphis Grizzlies,100.0,Minnesota Timberwolves,111.0,17136.0,Target Center,2023
"Fri, Jan 27, 2023",8:00p,Orlando Magic,105.0,Miami Heat,110.0,19788.0,Kaseya Center,2023
"Fri, Jan 27, 2023",8:00p,Cleveland Cavaliers,100.0,Oklahoma City Thunder,112.0,16236.0,Paycom Center,2023
"Fri, Jan 27, 2023",10:00p,Toronto Raptors,117.0,Golden State Warriors,129.0,18064.0,Chase Center,2023
"Sat, Jan 28, 2023",3:00p,Denver Nuggets,119.0,Philadelphia 76ers,126.0,21255.0,Wells Fargo Center,2023
"Sat, Jan 28, 2023",5:30p,New York Knicks,115.0,Brooklyn Nets,122.0,18100.0,Barclays Center,2023
"Sat, Jan 28, 2023",7:00p,Houston Rockets,117.0,Detroit Pistons,114.0,19411.0,Little Caesars Arena,2023
"Sat, Jan 28, 2023",7:00p,Chicago Bulls,128.0,Orlando Magic,109.0,18846.0,Amway Center,2023
"Sat, Jan 28, 2023",7:30p,Los Angeles Clippers,120.0,Atlanta Hawks,113.0,18448.0,State Farm Arena,2023
"Sat, Jan 28, 2023",8:00p,Sacramento Kings,110.0,Minnesota Timberwolves,117.0,17136.0,Target Center,2023
"Sat, Jan 28, 2023",8:00p,Washington Wizards,113.0,New Orleans Pelicans,103.0,17692.0,Smoothie King Center,2023
"Sat, Jan 28, 2023",8:00p,Phoenix Suns,128.0,San Antonio Spurs,118.0,18354.0,AT&T Center,2023
"Sat, Jan 28, 2023",8:30p,Los Angeles Lakers,121.0,Boston Celtics,125.0,19156.0,TD Garden,2023
"Sat, Jan 28, 2023",9:00p,Dallas Mavericks,100.0,Utah Jazz,108.0,18206.0,Vivint Arena,2023
"Sat, Jan 28, 2023",10:00p,Toronto Raptors,123.0,Portland Trail Blazers,105.0,19393.0,Moda Center,2023
"Sun, Jan 29, 2023",1:00p,Miami Heat,117.0,Charlotte Hornets,122.0,19254.0,Spectrum Center,2023
"Sun, Jan 29, 2023",6:00p,Indiana Pacers,100.0,Memphis Grizzlies,112.0,17794.0,FedEx Forum,2023
"Sun, Jan 29, 2023",7:00p,Los Angeles Clippers,99.0,Cleveland Cavaliers,122.0,19432.0,Rocket Mortgage Fieldhouse,2023
"Sun, Jan 29, 2023",8:00p,New Orleans Pelicans,110.0,Milwaukee Bucks,135.0,17341.0,Fiserv Forum,2023
