Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year
"Tue, Jun 14, 2022",Seattle Storm,81,Minnesota Lynx,79,2022
"Tue, Jun 14, 2022",Phoenix Mercury,65,Washington Mystics,83,2022
"Wed, Jun 15, 2022",Atlanta Dream,92,Connecticut Sun,105,2022
"Wed, Jun 15, 2022",Las Vegas Aces,92,Dallas Wings,84,2022
"Wed, Jun 15, 2022",Phoenix Mercury,93,Indiana Fever,80,2022
"Thu, Jun 16, 2022",Washington Mystics,65,New York Liberty,77,2022
"Fri, Jun 17, 2022",Atlanta Dream,100,Chicago Sky,106,2022
"Fri, Jun 17, 2022",Seattle Storm,71,Connecticut Sun,82,2022
"Fri, Jun 17, 2022",Phoenix Mercury,88,Dallas Wings,93,2022
"Sun, Jun 19, 2022",Los Angeles Sparks,82,Dallas Wings,92,2022
"Sun, Jun 19, 2022",Chicago Sky,87,Indiana Fever,89,2022
"Sun, Jun 19, 2022",Minnesota Lynx,95,Las Vegas Aces,96,2022
"Sun, Jun 19, 2022",Seattle Storm,81,New York Liberty,72,2022
"Sun, Jun 19, 2022",Connecticut Sun,63,Washington Mystics,71,2022
"Tue, Jun 21, 2022",Dallas Wings,75,Atlanta Dream,80,2022
"Tue, Jun 21, 2022",Washington Mystics,82,Los Angeles Sparks,84,2022
"Tue, Jun 21, 2022",Chicago Sky,104,Las Vegas Aces,95,2022
"Tue, Jun 21, 2022",Minnesota Lynx,84,Phoenix Mercury,71,2022
"Wed, Jun 22, 2022",New York Liberty,81,Connecticut Sun,77,2022
"Thu, Jun 23, 2022",Indiana Fever,68,Dallas Wings,94,2022
"Thu, Jun 23, 2022",Chicago Sky,82,Los Angeles Sparks,59,2022
"Thu, Jun 23, 2022",Phoenix Mercury,88,Minnesota Lynx,100,2022
"Thu, Jun 23, 2022",Washington Mystics,71,Seattle Storm,85,2022
"Fri, Jun 24, 2022",New York Liberty,89,Atlanta Dream,77,2022
"Sat, Jun 25, 2022",Phoenix Mercury,83,Dallas Wings,72,2022
"Sat, Jun 25, 2022",Washington Mystics,87,Las Vegas Aces,86,2022
"Sat, Jun 25, 2022",Los Angeles Sparks,85,Seattle Storm,77,2022
"Sun, Jun 26, 2022",Connecticut Sun,72,Atlanta Dream,61,2022
"Sun, Jun 26, 2022",Minnesota Lynx,85,Chicago Sky,88,2022
"Mon, Jun 27, 2022",Las Vegas Aces,79,Los Angeles Sparks,73,2022
"Mon, Jun 27, 2022",Indiana Fever,71,Phoenix Mercury,83,2022
"Tue, Jun 28, 2022",Dallas Wings,64,Minnesota Lynx,92,2022
"Tue, Jun 28, 2022",Atlanta Dream,74,Washington Mystics,92,2022
"Wed, Jun 29, 2022",Connecticut Sun,83,Chicago Sky,91,2022
"Wed, Jun 29, 2022",Indiana Fever,78,Phoenix Mercury,99,2022
"Wed, Jun 29, 2022",Las Vegas Aces,78,Seattle Storm,88,2022
"Thu, Jun 30, 2022",Atlanta Dream,92,New York Liberty,81,2022
"Fri, Jul 1, 2022",Los Angeles Sparks,97,Dallas Wings,89,2022
"Fri, Jul 1, 2022",Las Vegas Aces,91,Minnesota Lynx,85,2022
"Fri, Jul 1, 2022",Indiana Fever,57,Seattle Storm,73,2022
"Sat, Jul 2, 2022",Phoenix Mercury,75,Chicago Sky,91,2022
"Sun, Jul 3, 2022",Seattle Storm,76,Atlanta Dream,90,2022
"Sun, Jul 3, 2022",Washington Mystics,72,Connecticut Sun,74,2022
"Sun, Jul 3, 2022",New York Liberty,74,Los Angeles Sparks,84,2022
"Sun, Jul 3, 2022",Las Vegas Aces,71,Minnesota Lynx,102,2022
"Mon, Jul 4, 2022",Phoenix Mercury,75,Los Angeles Sparks,78,2022
"Tue, Jul 5, 2022",Connecticut Sun,71,Dallas Wings,82,2022
"Tue, Jul 5, 2022",Seattle Storm,95,Indiana Fever,73,2022
"Wed, Jul 6, 2022",Washington Mystics,85,Atlanta Dream,66,2022
"Wed, Jul 6, 2022",New York Liberty,116,Las Vegas Aces,107,2022
"Wed, Jul 6, 2022",Chicago Sky,78,Minnesota Lynx,81,2022
"Thu, Jul 7, 2022",Chicago Sky,93,Indiana Fever,84,2022
"Thu, Jul 7, 2022",Seattle Storm,106,Los Angeles Sparks,69,2022
"Thu, Jul 7, 2022",New York Liberty,81,Phoenix Mercury,84,2022
"Tue, Jul 12, 2022",Atlanta Dream,75,Chicago Sky,90,2022
"Tue, Jul 12, 2022",Washington Mystics,94,Los Angeles Sparks,81,2022
"Tue, Jul 12, 2022",Phoenix Mercury,107,Minnesota Lynx,118,2022
"Tue, Jul 12, 2022",Las Vegas Aces,107,New York Liberty,101,2022
"Tue, Jul 12, 2022",Dallas Wings,74,Seattle Storm,83,2022
"Wed, Jul 13, 2022",Connecticut Sun,89,Indiana Fever,81,2022
"Thu, Jul 14, 2022",Chicago Sky,80,Los Angeles Sparks,68,2022
"Thu, Jul 14, 2022",Dallas Wings,92,Minnesota Lynx,87,2022
"Thu, Jul 14, 2022",Las Vegas Aces,108,New York Liberty,74,2022
"Thu, Jul 14, 2022",Washington Mystics,75,Phoenix Mercury,80,2022
"Fri, Jul 15, 2022",Connecticut Sun,93,Atlanta Dream,68,2022
"Fri, Jul 15, 2022",Minnesota Lynx,87,Indiana Fever,77,2022
"Sat, Jul 16, 2022",Chicago Sky,89,Dallas Wings,81,2022
"Sun, Jul 17, 2022",Las Vegas Aces,91,Connecticut Sun,83,2022
"Sun, Jul 17, 2022",Atlanta Dream,85,Phoenix Mercury,75,2022
"Sun, Jul 17, 2022",Indiana Fever,65,Seattle Storm,81,2022
"Sun, Jul 17, 2022",Minnesota Lynx,57,Washington Mystics,70,2022
"Tue, Jul 19, 2022",New York Liberty,63,Connecticut Sun,82,2022
"Tue, Jul 19, 2022",Indiana Fever,79,Los Angeles Sparks,86,2022
"Tue, Jul 19, 2022",Atlanta Dream,92,Las Vegas Aces,76,2022
"Wed, Jul 20, 2022",Seattle Storm,74,Chicago Sky,78,2022
"Thu, Jul 21, 2022",Atlanta Dream,78,Los Angeles Sparks,85,2022
"Thu, Jul 21, 2022",Indiana Fever,77,Las Vegas Aces,90,2022
"Thu, Jul 21, 2022",New York Liberty,69,Washington Mystics,78,2022
"Fri, Jul 22, 2022",Dallas Wings,83,Chicago Sky,89,2022
"Fri, Jul 22, 2022",Connecticut Sun,94,Minnesota Lynx,84,2022
"Fri, Jul 22, 2022",Seattle Storm,78,Phoenix Mercury,94,2022
