Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year
"Tue, Jul 11, 2023",Seattle Storm,86,Washington Mystics,93,2023
"Wed, Jul 12, 2023",Seattle Storm,75,Atlanta Dream,85,2023
"Wed, Jul 12, 2023",Connecticut Sun,84,Chicago Sky,72,2023
"Wed, Jul 12, 2023",New York Liberty,95,Indiana Fever,87,2023
"Wed, Jul 12, 2023",Las Vegas Aces,97,Los Angeles Sparks,78,2023
"Wed, Jul 12, 2023",Dallas Wings,107,Minnesota Lynx,67,2023
"Tue, Jul 18, 2023",Minnesota Lynx,73,Atlanta Dream,82,2023
"Tue, Jul 18, 2023",Connecticut Sun,66,Phoenix Mercury,72,2023
"Wed, Jul 19, 2023",Dallas Wings,98,New York Liberty,88,2023
"Wed, Jul 19, 2023",Indiana Fever,82,Washington Mystics,76,2023
"Thu, Jul 20, 2023",Atlanta Dream,71,Connecticut Sun,82,2023
"Thu, Jul 20, 2023",Los Angeles Sparks,70,Minnesota Lynx,73,2023
"Thu, Jul 20, 2023",Chicago Sky,62,Phoenix Mercury,80,2023
"Thu, Jul 20, 2023",Las Vegas Aces,79,Seattle Storm,63,2023
"Fri, Jul 21, 2023",New York Liberty,96,Washington Mystics,87,2023
"Sat, Jul 22, 2023",Connecticut Sun,86,Atlanta Dream,78,2023
"Sat, Jul 22, 2023",Los Angeles Sparks,84,Dallas Wings,98,2023
"Sat, Jul 22, 2023",Las Vegas Aces,98,Minnesota Lynx,81,2023
"Sat, Jul 22, 2023",Chicago Sky,90,Seattle Storm,75,2023
"Sun, Jul 23, 2023",Indiana Fever,83,New York Liberty,101,2023
"Sun, Jul 23, 2023",Phoenix Mercury,69,Washington Mystics,84,2023
"Tue, Jul 25, 2023",Phoenix Mercury,65,Atlanta Dream,78,2023
"Tue, Jul 25, 2023",Las Vegas Aces,107,Chicago Sky,95,2023
"Tue, Jul 25, 2023",Connecticut Sun,88,Dallas Wings,83,2023
"Tue, Jul 25, 2023",Indiana Fever,78,Los Angeles Sparks,79,2023
"Tue, Jul 25, 2023",Seattle Storm,82,New York Liberty,86,2023
"Wed, Jul 26, 2023",Washington Mystics,92,Minnesota Lynx,97,2023
"Thu, Jul 27, 2023",Indiana Fever,68,Los Angeles Sparks,81,2023
"Thu, Jul 27, 2023",Atlanta Dream,84,New York Liberty,95,2023
"Fri, Jul 28, 2023",Seattle Storm,83,Chicago Sky,74,2023
"Fri, Jul 28, 2023",Washington Mystics,62,Dallas Wings,90,2023
"Fri, Jul 28, 2023",Minnesota Lynx,88,New York Liberty,83,2023
"Sun, Jul 30, 2023",Washington Mystics,73,Atlanta Dream,80,2023
"Sun, Jul 30, 2023",Phoenix Mercury,85,Chicago Sky,104,2023
"Sun, Jul 30, 2023",Minnesota Lynx,87,Connecticut Sun,83,2023
"Sun, Jul 30, 2023",Seattle Storm,85,Indiana Fever,62,2023
"Sun, Jul 30, 2023",New York Liberty,87,Los Angeles Sparks,79,2023
"Sun, Jul 30, 2023",Dallas Wings,91,Las Vegas Aces,104,2023
"Tue, Aug 1, 2023",Minnesota Lynx,69,Connecticut Sun,79,2023
"Tue, Aug 1, 2023",Phoenix Mercury,71,Indiana Fever,72,2023
"Tue, Aug 1, 2023",New York Liberty,76,Los Angeles Sparks,69,2023
"Tue, Aug 1, 2023",Atlanta Dream,72,Las Vegas Aces,93,2023
"Wed, Aug 2, 2023",Dallas Wings,76,Seattle Storm,65,2023
"Thu, Aug 3, 2023",Atlanta Dream,71,Phoenix Mercury,91,2023
"Fri, Aug 4, 2023",Chicago Sky,104,Dallas Wings,89,2023
"Fri, Aug 4, 2023",Connecticut Sun,88,Indiana Fever,72,2023
"Fri, Aug 4, 2023",New York Liberty,76,Minnesota Lynx,66,2023
"Fri, Aug 4, 2023",Los Angeles Sparks,77,Washington Mystics,79,2023
"Sat, Aug 5, 2023",Seattle Storm,97,Phoenix Mercury,91,2023
"Sun, Aug 6, 2023",Indiana Fever,73,Atlanta Dream,82,2023
"Sun, Aug 6, 2023",Chicago Sky,104,Dallas Wings,96,2023
"Sun, Aug 6, 2023",Las Vegas Aces,61,New York Liberty,99,2023
"Sun, Aug 6, 2023",Los Angeles Sparks,91,Washington Mystics,83,2023
"Tue, Aug 8, 2023",Minnesota Lynx,88,Chicago Sky,79,2023
"Tue, Aug 8, 2023",Las Vegas Aces,104,Dallas Wings,84,2023
"Tue, Aug 8, 2023",Los Angeles Sparks,87,Indiana Fever,80,2023
"Tue, Aug 8, 2023",Washington Mystics,72,Phoenix Mercury,91,2023
"Tue, Aug 8, 2023",Connecticut Sun,81,Seattle Storm,69,2023
"Thu, Aug 10, 2023",Minnesota Lynx,73,Indiana Fever,91,2023
"Thu, Aug 10, 2023",Connecticut Sun,84,Phoenix Mercury,90,2023
"Thu, Aug 10, 2023",Atlanta Dream,67,Seattle Storm,68,2023
"Fri, Aug 11, 2023",Washington Mystics,89,Las Vegas Aces,113,2023
"Fri, Aug 11, 2023",Chicago Sky,73,New York Liberty,89,2023
"Sat, Aug 12, 2023",Connecticut Sun,81,Dallas Wings,91,2023
"Sat, Aug 12, 2023",Atlanta Dream,74,Los Angeles Sparks,85,2023
"Sun, Aug 13, 2023",New York Liberty,100,Indiana Fever,89,2023
"Sun, Aug 13, 2023",Atlanta Dream,65,Las Vegas Aces,86,2023
"Sun, Aug 13, 2023",Phoenix Mercury,71,Seattle Storm,81,2023
"Sun, Aug 13, 2023",Chicago Sky,76,Washington Mystics,83,2023
"Thu, Aug 17, 2023",New York Liberty,75,Las Vegas Aces,88,2023
"Fri, Aug 18, 2023",Chicago Sky,67,Atlanta Dream,78,2023
"Fri, Aug 18, 2023",Dallas Wings,95,Connecticut Sun,75,2023
"Fri, Aug 18, 2023",Washington Mystics,83,Indiana Fever,79,2023
"Fri, Aug 18, 2023",New York Liberty,85,Phoenix Mercury,63,2023
"Fri, Aug 18, 2023",Minnesota Lynx,78,Seattle Storm,70,2023
"Sat, Aug 19, 2023",Los Angeles Sparks,78,Las Vegas Aces,72,2023
"Sun, Aug 20, 2023",Connecticut Sun,79,Chicago Sky,73,2023
"Sun, Aug 20, 2023",Seattle Storm,88,Minnesota Lynx,74,2023
"Sun, Aug 20, 2023",Indiana Fever,83,Phoenix Mercury,73,2023
"Sun, Aug 20, 2023",Dallas Wings,97,Washington Mystics,84,2023
"Tue, Aug 22, 2023",Las Vegas Aces,112,Atlanta Dream,100,2023
"Tue, Aug 22, 2023",Seattle Storm,79,Chicago Sky,102,2023
"Tue, Aug 22, 2023",Dallas Wings,86,Minnesota Lynx,91,2023
"Tue, Aug 22, 2023",Connecticut Sun,68,Washington Mystics,64,2023
"Wed, Aug 23, 2023",Phoenix Mercury,62,Los Angeles Sparks,91,2023
"Thu, Aug 24, 2023",Las Vegas Aces,94,Chicago Sky,87,2023
"Thu, Aug 24, 2023",New York Liberty,95,Connecticut Sun,90,2023
"Thu, Aug 24, 2023",Minnesota Lynx,90,Dallas Wings,81,2023
"Thu, Aug 24, 2023",Seattle Storm,86,Indiana Fever,90,2023
"Fri, Aug 25, 2023",Los Angeles Sparks,83,Atlanta Dream,78,2023
"Sat, Aug 26, 2023",New York Liberty,111,Minnesota Lynx,76,2023
"Sat, Aug 26, 2023",Las Vegas Aces,62,Washington Mystics,78,2023
"Sun, Aug 27, 2023",Los Angeles Sparks,68,Connecticut Sun,83,2023
"Sun, Aug 27, 2023",Atlanta Dream,80,Indiana Fever,83,2023
"Sun, Aug 27, 2023",Dallas Wings,77,Phoenix Mercury,74,2023
"Sun, Aug 27, 2023",Chicago Sky,90,Seattle Storm,85,2023
"Mon, Aug 28, 2023",Las Vegas Aces,85,New York Liberty,94,2023
"Tue, Aug 29, 2023",Phoenix Mercury,76,Atlanta Dream,94,2023
"Tue, Aug 29, 2023",Chicago Sky,76,Los Angeles Sparks,75,2023
"Tue, Aug 29, 2023",Minnesota Lynx,72,Washington Mystics,83,2023
"Thu, Aug 31, 2023",Phoenix Mercury,74,Connecticut Sun,84,2023
"Thu, Aug 31, 2023",Seattle Storm,72,Los Angeles Sparks,61,2023
"Thu, Aug 31, 2023",Washington Mystics,75,Las Vegas Aces,84,2023
"Fri, Sep 1, 2023",Dallas Wings,110,Indiana Fever,100,2023
"Fri, Sep 1, 2023",Atlanta Dream,85,Minnesota Lynx,91,2023
"Fri, Sep 1, 2023",Connecticut Sun,58,New York Liberty,89,2023
"Sat, Sep 2, 2023",Seattle Storm,77,Las Vegas Aces,103,2023
"Sun, Sep 3, 2023",New York Liberty,86,Chicago Sky,69,2023
"Sun, Sep 3, 2023",Indiana Fever,97,Dallas Wings,84,2023
"Sun, Sep 3, 2023",Washington Mystics,64,Los Angeles Sparks,72,2023
"Sun, Sep 3, 2023",Phoenix Mercury,73,Minnesota Lynx,86,2023
"Tue, Sep 5, 2023",Los Angeles Sparks,76,Connecticut Sun,90,2023
"Tue, Sep 5, 2023",New York Liberty,94,Dallas Wings,93,2023
"Tue, Sep 5, 2023",Chicago Sky,96,Indiana Fever,69,2023
"Tue, Sep 5, 2023",Washington Mystics,100,Phoenix Mercury,77,2023
"Wed, Sep 6, 2023",Seattle Storm,68,Atlanta Dream,79,2023
"Thu, Sep 7, 2023",Los Angeles Sparks,89,New York Liberty,96,2023
"Fri, Sep 8, 2023",Minnesota Lynx,87,Chicago Sky,92,2023
"Fri, Sep 8, 2023",Indiana Fever,59,Connecticut Sun,76,2023
"Fri, Sep 8, 2023",Seattle Storm,91,Dallas Wings,106,2023
"Fri, Sep 8, 2023",Las Vegas Aces,94,Phoenix Mercury,73,2023
"Fri, Sep 8, 2023",Atlanta Dream,80,Washington Mystics,75,2023
"Sun, Sep 10, 2023",Dallas Wings,94,Atlanta Dream,77,2023
"Sun, Sep 10, 2023",Chicago Sky,102,Connecticut Sun,91,2023
"Sun, Sep 10, 2023",Minnesota Lynx,72,Indiana Fever,87,2023
"Sun, Sep 10, 2023",Phoenix Mercury,85,Las Vegas Aces,100,2023
"Sun, Sep 10, 2023",Washington Mystics,90,New York Liberty,88,2023
"Sun, Sep 10, 2023",Los Angeles Sparks,91,Seattle Storm,89,2023
"Wed, Sep 13, 2023",Minnesota Lynx,60,Connecticut Sun,90,2023
"Wed, Sep 13, 2023",Chicago Sky,59,Las Vegas Aces,87,2023
"Fri, Sep 15, 2023",Atlanta Dream,82,Dallas Wings,94,2023
"Fri, Sep 15, 2023",Washington Mystics,75,New York Liberty,90,2023
"Sun, Sep 17, 2023",Minnesota Lynx,82,Connecticut Sun,75,2023
"Sun, Sep 17, 2023",Chicago Sky,70,Las Vegas Aces,92,2023
"Tue, Sep 19, 2023",Atlanta Dream,74,Dallas Wings,101,2023
"Tue, Sep 19, 2023",Washington Mystics,85,New York Liberty,90,2023
"Wed, Sep 20, 2023",Connecticut Sun,90,Minnesota Lynx,75,2023
"Sun, Sep 24, 2023",Dallas Wings,83,Las Vegas Aces,97,2023
"Sun, Sep 24, 2023",Connecticut Sun,78,New York Liberty,63,2023
"Tue, Sep 26, 2023",Dallas Wings,84,Las Vegas Aces,91,2023
"Tue, Sep 26, 2023",Connecticut Sun,77,New York Liberty,84,2023
"Fri, Sep 29, 2023",New York Liberty,92,Connecticut Sun,81,2023
"Fri, Sep 29, 2023",Las Vegas Aces,64,Dallas Wings,61,2023
"Sun, Oct 1, 2023",New York Liberty,87,Connecticut Sun,84,2023
"Sun, Oct 8, 2023",New York Liberty,82,Las Vegas Aces,99,2023
"Wed, Oct 11, 2023",New York Liberty,76,Las Vegas Aces,104,2023
"Sun, Oct 15, 2023",Las Vegas Aces,73,New York Liberty,87,2023
