commence_date,commence_hour,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,outcome_price,outcome_point
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,superbook,SuperBook,spreads,New York Liberty,-110,2.0
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,superbook,SuperBook,totals,Over,-110,172.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,superbook,SuperBook,totals,Under,-110,172.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,bovada,Bovada,h2h,Las Vegas Aces,-135,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,bovada,Bovada,h2h,New York Liberty,115,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,bovada,Bovada,spreads,Las Vegas Aces,-110,-2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,bovada,Bovada,spreads,New York Liberty,-110,2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,bovada,Bovada,totals,Over,-110,172.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,bovada,Bovada,totals,Under,-110,172.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betrivers,BetRivers,h2h,Las Vegas Aces,-137,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betrivers,BetRivers,h2h,New York Liberty,114,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betrivers,BetRivers,spreads,Las Vegas Aces,-109,-2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betrivers,BetRivers,spreads,New York Liberty,-114,2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betrivers,BetRivers,totals,Over,-113,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betrivers,BetRivers,totals,Under,-110,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,unibet_us,Unibet,h2h,Las Vegas Aces,-137,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,unibet_us,Unibet,h2h,New York Liberty,114,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,unibet_us,Unibet,spreads,Las Vegas Aces,-109,-2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,unibet_us,Unibet,spreads,New York Liberty,-114,2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,unibet_us,Unibet,totals,Over,-113,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,unibet_us,Unibet,totals,Under,-110,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,twinspires,TwinSpires,h2h,Las Vegas Aces,-137,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,twinspires,TwinSpires,h2h,New York Liberty,114,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,twinspires,TwinSpires,spreads,Las Vegas Aces,-109,-2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,twinspires,TwinSpires,spreads,New York Liberty,-114,2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,twinspires,TwinSpires,totals,Over,-113,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,twinspires,TwinSpires,totals,Under,-110,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betus,BetUS,h2h,Las Vegas Aces,-135,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betus,BetUS,h2h,New York Liberty,115,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betus,BetUS,spreads,Las Vegas Aces,-110,-2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betus,BetUS,spreads,New York Liberty,-110,2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betus,BetUS,totals,Over,-110,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betus,BetUS,totals,Under,-110,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,wynnbet,WynnBET,h2h,Las Vegas Aces,-135,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,wynnbet,WynnBET,h2h,New York Liberty,115,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,wynnbet,WynnBET,spreads,Las Vegas Aces,-110,-2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,wynnbet,WynnBET,spreads,New York Liberty,-110,2.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,wynnbet,WynnBET,totals,Over,-110,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,wynnbet,WynnBET,totals,Under,-110,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betonlineag,BetOnline.ag,h2h,Las Vegas Aces,-139,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betonlineag,BetOnline.ag,h2h,New York Liberty,119,
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betonlineag,BetOnline.ag,spreads,Las Vegas Aces,-115,-2.0
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betonlineag,BetOnline.ag,spreads,New York Liberty,-105,2.0
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betonlineag,BetOnline.ag,totals,Over,-110,171.5
10/15/2023,03:00 PM,New York Liberty,Las Vegas Aces,betonlineag,BetOnline.ag,totals,Under,-110,171.5
